Model Output Date,1 year Expected Inflation
1/1/82,0.063945071
2/1/82,0.064321077
3/1/82,0.063877317
4/1/82,0.061406276
5/1/82,0.054881669
6/1/82,0.054452325
7/1/82,0.063748846
8/1/82,0.06367801
9/1/82,0.06339422
10/1/82,0.051327583
11/1/82,0.046539145
12/1/82,0.045710148
1/1/83,0.048633048
2/1/83,0.045956615
3/1/83,0.040629447
4/1/83,0.046289199
5/1/83,0.046186334
6/1/83,0.041399507
7/1/83,0.049603809
8/1/83,0.051924267
9/1/83,0.051037494
10/1/83,0.051155348
11/1/83,0.052028781
12/1/83,0.051980904
1/1/84,0.052475146
2/1/84,0.050622947
3/1/84,0.048302654
4/1/84,0.054205543
5/1/84,0.054580169
6/1/84,0.055883874
7/1/84,0.05692377
8/1/84,0.05224781
9/1/84,0.051047828
10/1/84,0.054138126
11/1/84,0.049376646
12/1/84,0.048509702
1/1/85,0.048807597
2/1/85,0.046573474
3/1/85,0.049883735
4/1/85,0.047725855
5/1/85,0.047029389
6/1/85,0.04716909
7/1/85,0.04407939
8/1/85,0.044287764
9/1/85,0.044613628
10/1/85,0.044118946
11/1/85,0.042730751
12/1/85,0.040037965
1/1/86,0.039759159
2/1/86,0.039713373
3/1/86,0.034802235
4/1/86,0.030175747
5/1/86,0.028514107
6/1/86,0.034637795
7/1/86,0.035734378
8/1/86,0.03388122
9/1/86,0.034035122
10/1/86,0.034713896
11/1/86,0.032203774
12/1/86,0.036377004
1/1/87,0.034766992
2/1/87,0.035699365
3/1/87,0.030945875
4/1/87,0.036402938
5/1/87,0.039085461
6/1/87,0.039808006
7/1/87,0.040066156
8/1/87,0.04126315
9/1/87,0.042771388
10/1/87,0.043834831
11/1/87,0.039721739
12/1/87,0.04083687
1/1/88,0.036629208
2/1/88,0.037866556
3/1/88,0.036808433
4/1/88,0.039816855
5/1/88,0.040994026
6/1/88,0.039480755
7/1/88,0.042701061
8/1/88,0.04362807
9/1/88,0.04414214
10/1/88,0.043720582
11/1/88,0.042504516
12/1/88,0.044612583
1/1/89,0.044802056
2/1/89,0.044007674
3/1/89,0.045305051
4/1/89,0.047028561
5/1/89,0.04852568
6/1/89,0.043841384
7/1/89,0.043266076
8/1/89,0.04127378
9/1/89,0.040212728
10/1/89,0.042239744
11/1/89,0.039988063
12/1/89,0.036603593
1/1/90,0.041516909
2/1/90,0.044318376
3/1/90,0.039925157
4/1/90,0.041347922
5/1/90,0.042465017
6/1/90,0.041908762
7/1/90,0.040715514
8/1/90,0.041266926
9/1/90,0.047322385
10/1/90,0.050042957
11/1/90,0.049594235
12/1/90,0.048876822
1/1/91,0.040730006
2/1/91,0.037918137
3/1/91,0.037886339
4/1/91,0.037570386
5/1/91,0.036422551
6/1/91,0.035765848
7/1/91,0.038492682
8/1/91,0.037712021
9/1/91,0.035858551
10/1/91,0.035977558
11/1/91,0.034862803
12/1/91,0.035525591
1/1/92,0.032724393
2/1/92,0.033409544
3/1/92,0.035870624
4/1/92,0.033684803
5/1/92,0.034097229
6/1/92,0.035547337
7/1/92,0.032800719
8/1/92,0.03113691
9/1/92,0.030056291
10/1/92,0.029535204
11/1/92,0.030830561
12/1/92,0.030122331
1/1/93,0.030462732
2/1/93,0.029146659
3/1/93,0.029762001
4/1/93,0.029080126
5/1/93,0.028227684
6/1/93,0.028107258
7/1/93,0.028204755
8/1/93,0.028309168
9/1/93,0.026860327
10/1/93,0.027698057
11/1/93,0.028056918
12/1/93,0.026618748
1/1/94,0.028546535
2/1/94,0.028042649
3/1/94,0.032724485
4/1/94,0.032195329
5/1/94,0.032434833
6/1/94,0.034229273
7/1/94,0.032848815
8/1/94,0.032882372
9/1/94,0.03251555
10/1/94,0.034983836
11/1/94,0.035738487
12/1/94,0.039072213
1/1/95,0.037001702
2/1/95,0.035637152
3/1/95,0.03474127
4/1/95,0.034644238
5/1/95,0.034662409
6/1/95,0.030571159
7/1/95,0.032567759
8/1/95,0.032675624
9/1/95,0.032099157
10/1/95,0.031309968
11/1/95,0.029833163
12/1/95,0.027518619
1/1/96,0.030038319
2/1/96,0.029196834
3/1/96,0.026168022
4/1/96,0.031333648
5/1/96,0.032478188
6/1/96,0.032261356
7/1/96,0.03144873
8/1/96,0.031073244
9/1/96,0.031347765
10/1/96,0.031805381
11/1/96,0.030987135
12/1/96,0.029632444
1/1/97,0.031574043
2/1/97,0.031308768
3/1/97,0.032344619
4/1/97,0.032328116
5/1/97,0.031341546
6/1/97,0.03201087
7/1/97,0.030903227
8/1/97,0.029692178
9/1/97,0.030134879
10/1/97,0.029881361
11/1/97,0.029327548
12/1/97,0.029354614
1/1/98,0.027570107
2/1/98,0.026177094
3/1/98,0.028714847
4/1/98,0.027267374
5/1/98,0.02644841
6/1/98,0.024650222
7/1/98,0.027361812
8/1/98,0.027124419
9/1/98,0.025336411
10/1/98,0.023601762
11/1/98,0.023458166
12/1/98,0.022704824
1/1/99,0.02395567
2/1/99,0.024182198
3/1/99,0.027113296
4/1/99,0.027007827
5/1/99,0.027428736
6/1/99,0.023467564
7/1/99,0.028008632
8/1/99,0.028129568
9/1/99,0.026882069
10/1/99,0.028762836
11/1/99,0.029859271
12/1/99,0.031640203
1/1/00,0.03080288
2/1/00,0.031570678
3/1/00,0.032388566
4/1/00,0.031606735
5/1/00,0.033126257
6/1/00,0.037602013
7/1/00,0.030862813
8/1/00,0.031234906
9/1/00,0.031741185
10/1/00,0.031062109
11/1/00,0.030989798
12/1/00,0.031672986
1/1/01,0.026536536
2/1/01,0.02632136
3/1/01,0.021422446
4/1/01,0.025592129
5/1/01,0.027238774
6/1/01,0.027511842
7/1/01,0.026878453
8/1/01,0.025859519
9/1/01,0.031152263
10/1/01,0.022912795
11/1/01,0.020813513
12/1/01,0.027313753
1/1/02,0.022902539
2/1/02,0.021457897
3/1/02,0.02013877
4/1/02,0.025878316
5/1/02,0.026186536
6/1/02,0.023419254
7/1/02,0.023480992
8/1/02,0.021314545
9/1/02,0.020411286
10/1/02,0.020053377
11/1/02,0.020305948
12/1/02,0.019511579
1/1/03,0.020790118
2/1/03,0.021065381
3/1/03,0.01903343
4/1/03,0.019895133
5/1/03,0.018385312
6/1/03,0.022847306
7/1/03,0.016263355
8/1/03,0.018526073
9/1/03,0.019804944
10/1/03,0.017885532
11/1/03,0.019308072
12/1/03,0.022234564
1/1/04,0.019069713
2/1/04,0.019871939
3/1/04,0.017042839
4/1/04,0.018527671
5/1/04,0.022141024
6/1/04,0.025740778
7/1/04,0.022558469
8/1/04,0.023408529
9/1/04,0.026767708
10/1/04,0.02145831
11/1/04,0.022068239
12/1/04,0.017525286
1/1/05,0.021405957
2/1/05,0.021370072
3/1/05,0.023342418
4/1/05,0.024622893
5/1/05,0.025780667
6/1/05,0.023619011
7/1/05,0.023318043
8/1/05,0.024638191
9/1/05,0.023538136
10/1/05,0.028474638
11/1/05,0.030510174
12/1/05,0.032271725
1/1/06,0.024027758
2/1/06,0.025082827
3/1/06,0.01768612
4/1/06,0.026830379
5/1/06,0.028830197
6/1/06,0.027447553
7/1/06,0.028005219
8/1/06,0.028670646
9/1/06,0.026513028
10/1/06,0.024007047
11/1/06,0.018893923
12/1/06,0.019891528
1/1/07,0.026838116
2/1/07,0.026396415
3/1/07,0.027976602
4/1/07,0.027184483
5/1/07,0.029243064
6/1/07,0.03214615
7/1/07,0.02614408
8/1/07,0.026534371
9/1/07,0.025740481
10/1/07,0.022920506
11/1/07,0.026320037
12/1/07,0.025437758
1/1/08,0.02466622
2/1/08,0.022977869
3/1/08,0.019336763
4/1/08,0.020175043
5/1/08,0.022868435
6/1/08,0.027285115
7/1/08,0.029490198
8/1/08,0.030525448
9/1/08,0.027309252
10/1/08,0.016072395
11/1/08,0.0078457206
12/1/08,0.0028299557
1/1/09,0.0047357505
2/1/09,0.0038164688000000002
3/1/09,-0.0048067803
4/1/09,0.012289362
5/1/09,0.012972457
6/1/09,0.012745119
7/1/09,0.015522347
8/1/09,0.020245319
9/1/09,0.023608109
10/1/09,0.016283633
11/1/09,0.018070337
12/1/09,0.017866037
1/1/10,0.016957593
2/1/10,0.017316171000000002
3/1/10,0.019701388
4/1/10,0.01587202
5/1/10,0.01562963
6/1/10,0.013532178
7/1/10,0.0096279857
8/1/10,0.013411201
9/1/10,0.0090713698
10/1/10,0.013652619
11/1/10,0.013962369
12/1/10,0.014938723
1/1/11,0.017900451
2/1/11,0.019547432
3/1/11,0.021063793
4/1/11,0.020757372
5/1/11,0.02292302
6/1/11,0.021177045
7/1/11,0.02432348
8/1/11,0.015113148
9/1/11,0.01008876
10/1/11,0.014656093
11/1/11,0.015052488
12/1/11,0.017116627
1/1/12,0.014714419
2/1/12,0.015014226
3/1/12,0.013620536
4/1/12,0.016869361
5/1/12,0.015903147
6/1/12,0.0078930567
7/1/12,0.012966497
8/1/12,0.013700924
9/1/12,0.019315046
10/1/12,0.016131067
11/1/12,0.016632266
12/1/12,0.021029068
1/1/13,0.013155854
2/1/13,0.013608065
3/1/13,0.010049408
4/1/13,0.014563149
5/1/13,0.011780254
6/1/13,0.013532103
7/1/13,0.010030329
8/1/13,0.01797427
9/1/13,0.02202423
10/1/13,0.015555239
11/1/13,0.014505754
12/1/13,0.019240314
1/1/14,0.016382453
2/1/14,0.015858281
3/1/14,0.012194617
4/1/14,0.01653011
5/1/14,0.0176839
6/1/14,0.015265458
7/1/14,0.018594911
8/1/14,0.018065541
9/1/14,0.021150395
10/1/14,0.016022445
11/1/14,0.01321155
12/1/14,0.021860996
1/1/15,0.0091604112
2/1/15,0.0038334206
3/1/15,0.0079843856
4/1/15,0.015899931
5/1/15,0.017028274
6/1/15,0.017750546
7/1/15,0.018011251
8/1/15,0.017247986
9/1/15,0.0192835582514902
10/1/15,0.013119821
11/1/15,0.013066673
12/1/15,0.0146795514645116
1/1/16,0.0147498775676165
2/1/16,0.0111589386951871
3/1/16,0.00782245509458367
4/1/16,0.0168966417799268
5/1/16,0.0166012214967328
6/1/16,0.0128116184925285
7/1/16,0.016481343641113
8/1/16,0.0159008659504786
9/1/16,0.0206443724421453
10/1/16,0.0174399736139812
11/1/16,0.0190220183549704
12/1/16,0.0229173320057938
1/1/17,0.0210273180403939
2/1/17,0.0194277371265964
3/1/17,0.0150314821045416
4/1/17,0.0171866968950732
5/1/17,0.0156480634450369
6/1/17,0.00958687760672474
7/1/17,0.0171215951240095
8/1/17,0.016521783233885
9/1/17,0.0205780237165603
10/1/17,0.0195269933334722
11/1/17,0.0206917501676733
12/1/17,0.0282407476190583
1/1/18,0.0190489380282095
2/1/18,0.0213804093644156
3/1/18,0.0168874433233419
4/1/18,0.0184679022296628
5/1/18,0.019677839419424
6/1/18,0.0159099528731569
7/1/18,0.0212308938682892
8/1/18,0.021284580842085
9/1/18,0.0241001454217385
10/1/18,0.0221216657088732
11/1/18,0.0216701624510708
12/1/18,0.0198107002068609
1/1/19,0.0180395839699961
2/1/19,0.017894310626954
3/1/19,0.0137532428869324
4/1/19,0.0203738030436123
5/1/19,0.0218513987036092
6/1/19,0.0160914044990088
7/1/19,0.0174765615711175
8/1/19,0.01714336463166
9/1/19,0.0164492794270194
10/1/19,0.0172460183051158
11/1/19,0.0169729978916628
12/1/19,0.0170378442454009
1/1/20,0.0179710931863847
2/1/20,0.0164596365653797
3/1/20,0.00987073923438197
4/1/20,-5.0353665532254e-4
5/1/20,-0.00218790365633738
6/1/20,0.00512757111466236
7/1/20,0.0157200143765512
8/1/20,0.0167677177254318
9/1/20,0.0158276439684728
10/1/20,0.013970376748853
11/1/20,0.014200294642421
12/1/20,0.016495212949031
1/1/21,0.0144609260170343
2/1/21,0.0167548668441155
3/1/21,0.015138380886214
4/1/21,0.017547173596944
5/1/21,0.0186820733771398
6/1/21,0.0205518859001258
7/1/21,0.0207311611566494
8/1/21,0.024624125876753
9/1/21,0.0268413712564137
10/1/21,0.0185436755370344
11/1/21,0.0247984049640833
12/1/21,0.0262030861257744
1/1/22,0.022417584823726
2/1/22,0.0262741883024557
3/1/22,0.0305769882990219
4/1/22,0.0339290341169866
5/1/22,0.0363465784585621
6/1/22,0.0422671337483993
7/1/22,0.0330927769518337
8/1/22,0.0337713165479824
9/1/22,0.0417914969095562
10/1/22,0.0288195932038721
11/1/22,0.0323904839042577
12/1/22,0.0286811917921074
1/1/2023,0.0267901609774874
2/1/2023,0.0261308946044568
3/1/2023,0.0207325086575923
4/1/2023,0.0265083257037791
5/1/2023,0.0265363857123477
6/1/2023,0.0136626254402056
7/1/2023,0.0247431653159777
8/1/2023,0.0260696893229348
9/1/2023,0.0281243484377258
10/1/2023,0.0276957367186367
11/1/2023,0.0279119570337478
12/1/2023,0.030916649890522
1/1/2024,0.0241863256096352
2/1/2024,0.0242832804072978
3/1/2024,0.0208221333024783
4/1/2024,0.027043668746998598
5/1/2024,0.0293566762868387
6/1/2024,0.0272584019931372
7/1/2024,0.0255564431120348
8/1/2024,0.0234705939701406
9/1/2024,0.0223612091489413
10/1/2024,0.0225612840857704
11/1/2024,0.0243167579696794
12/1/2024,0.0265035634351582
1/1/2025,0.0262695841417105
2/1/2025,0.0272766222797443
3/1/2025,0.0218385272312449
4/1/2025,0.028858861924527
